Gene	Newman-control-R01	Newman-control-R02	Newman-control-R03	Newman-min10-R01	Newman-min10-R02	Newman-min10-R03	Newman-min2-R01	Newman-min2-R02	Newman-min2-R03	Newman-min20-R01	Newman-min20-R02	Newman-min20-R03	Newman-min30-R01	Newman-min30-R02	Newman-min30-R03	Newman-min5-R01	Newman-min5-R02	Newman-min5-R03
CDS_0264	0	0	0	171	706	242	300	21	429	181	149	274	107	78	181	249	91	384
CDS_0265	0	0	0	19	84	31	36	4	62	27	24	29	13	15	26	29	17	64
CDS_0266	0	0	0	4	1	6	1	0	2	4	6	4	2	1	4	0	0	2
CDS_0267	0	0	0	89	98	93	9	1	21	232	126	163	188	180	99	28	5	77
CDS_0268	0	0	0	356	681	341	301	34	570	340	217	438	337	148	319	409	140	620
CDS_0269	0	0	0	836	1768	899	599	40	1225	813	557	1052	657	341	766	1014	266	1544
CDS_0270	1	0	0	3850	6062	4705	1856	210	4682	4045	3265	5870	3672	1688	3839	4398	1228	6566
CDS_0271	1	0	0	1521	1857	2037	739	105	2034	1831	1206	2361	2159	818	1842	1670	643	2924
CDS_0272	0	1	0	4390	5081	6523	1598	192	4452	6260	5654	7353	6063	2998	5866	4228	1595	7447
CDS_0273	2	1	0	1773	2077	2672	676	82	2197	2365	1953	3087	2627	1067	2467	2032	745	3676
CDS_0274	2	0	0	2496	2237	3482	675	80	2425	2853	2538	3563	2802	1369	2813	2403	816	4454
CDS_0275	0	1	0	2933	4073	3436	1069	99	2880	3750	3082	3636	2799	1454	2381	2806	747	4783
CDS_0276	0	0	0	84	326	100	88	6	113	173	160	153	101	86	111	89	27	187
