Gene	Newman-control-R01	Newman-control-R02	Newman-control-R03	Newman-min10-R01	Newman-min10-R02	Newman-min10-R03	Newman-min2-R01	Newman-min2-R02	Newman-min2-R03	Newman-min20-R01	Newman-min20-R02	Newman-min20-R03	Newman-min30-R01	Newman-min30-R02	Newman-min30-R03	Newman-min5-R01	Newman-min5-R02	Newman-min5-R03
CDS_0179	4	0	0	11653	6791	21266	189	77	563	46239	29674	29138	30701	31867	13560	4096	596	7435
CDS_0180	1	0	0	2596	1604	4974	29	19	111	11479	6951	6997	7501	7962	3257	818	111	1551
CDS_0181	0	0	0	4530	2905	8273	55	18	132	21557	11767	13387	14280	14886	5622	1399	167	2408
CDS_0182	0	0	0	187	152	319	4	1	5	1041	576	565	859	734	330	51	6	92
CDS_0183	1	0	2	523	289	825	8	3	18	5444	1336	3181	29822	6815	11784	155	27	223
CDS_0184	0	0	0	543	256	786	5	7	20	5063	1432	3128	30060	6482	13522	164	19	174
CDS_0185	0	0	0	249	144	328	2	1	8	2647	662	1578	14855	3418	6479	62	8	102
CDS_0186	0	1	0	3302	3315	4697	247	35	619	6593	4797	4381	3383	2990	2042	1546	186	3269
CDS_0187	0	0	0	6139	6231	9497	336	76	1053	12962	10391	9264	7924	6637	4728	2965	347	6483
CDS_0188	2	1	1	13514	13283	22538	551	130	1701	35848	24842	24686	24267	19848	12469	6075	745	11798
CDS_0189	0	0	0	3928	3142	6105	109	28	255	12522	6995	8157	8037	6772	3631	1391	182	2573
CDS_0190	0	0	0	4323	3486	6804	114	28	307	15591	8241	10016	9590	8458	4291	1507	202	2811
CDS_0191	0	0	0	1615	1126	2287	56	17	263	3623	2696	2684	3097	2240	1647	675	107	1542
CDS_0192	0	0	0	3036	2192	4631	95	36	353	7185	5513	5046	6012	4662	3240	1278	206	2866
CDS_0193	0	0	0	1983	1461	2897	83	29	287	4467	3426	3090	3554	2810	1904	820	130	1838
CDS_0194	0	0	0	4117	3104	6388	127	48	493	10758	7726	7323	8611	6385	4236	1667	248	3628
CDS_0195	1	0	0	1864	1410	3048	44	14	136	6634	3844	4283	8005	4643	2933	701	99	1435
CDS_0196	0	0	0	1668	1064	2822	26	7	106	6161	3638	3814	7243	4395	2729	591	85	1164
CDS_0197	1	1	0	6954	6730	10013	371	99	1201	15075	10669	10284	10943	7613	5209	3261	407	7365
CDS_0198	0	1	1	10441	9426	14775	388	86	1360	22294	16031	15489	15445	11364	7734	4489	501	9486
CDS_0199	0	0	0	1051	866	1709	16	8	115	2704	1377	2445	5618	1724	2525	403	58	972
CDS_0200	0	0	0	1508	1198	2094	105	26	313	2292	2205	2086	2128	1261	1481	785	120	1890
CDS_0201	0	0	0	2384	2457	3797	156	42	458	4495	4367	3743	3642	2507	2439	1225	181	3196
CDS_0202	0	1	0	2913	2646	4425	162	48	617	5107	4249	4034	3406	2314	1928	1522	218	3653
CDS_0203	2	1	0	6735	6807	9875	449	81	1119	12702	10380	9451	7438	6010	4762	3207	418	7541
